i;j;C;gamma;accuracy;time_ms
4.0;3.0;8.0;0.001953125;0.6447327451997924;84364.0
1.0;8.0;0.125;2.0;0.6584327970939284;80656.0
8.0;2.0;2048.0;4.8828125E-4;0.6667358588479502;91892.0
0.0;6.0;0.03125;0.125;0.6334198235599378;87375.0
3.0;2.0;2.0;4.8828125E-4;0.6195121951219512;91549.0
7.0;3.0;512.0;0.001953125;0.669330565646082;87786.0
4.0;2.0;8.0;4.8828125E-4;0.6186818889465491;87181.0
6.0;7.0;128.0;0.5;0.6661131292163985;318571.0
5.0;7.0;32.0;0.5;0.6707836014530358;147105.0
8.0;6.0;2048.0;0.125;0.6656979761286974;1162367.0
7.0;8.0;512.0;2.0;0.6472236637259989;1218031.0
2.0;4.0;0.5;0.0078125;0.6181629475869227;88496.0
9.0;1.0;8192.0;1.220703125E-4;0.6665282823040997;95964.0
6.0;2.0;128.0;4.8828125E-4;0.6573949143746757;84198.0
0.0;1.0;0.03125;1.220703125E-4;0.6199273482096523;97457.0
9.0;0.0;8192.0;3.0517578125E-5;0.6652828230409964;87663.0
8.0;8.0;2048.0;2.0;0.6359107420861443;2389938.0
3.0;3.0;2.0;0.001953125;0.6193046185781007;87853.0

